item_id,main_image_id,product_type,item_name,brand,color,material,style,pattern,dimensions,weight
B07QTHYQD7,61C1+Tugx4L,TOTE_BAG,"Eono by Amazon - Bolsas Compra Reutilizables Ecológicas Bolsa de Malla para Almacenamiento Fruta Verduras Juguetes Lavable y Transpirable 3 Diversos Tamaños, 9 Pcs (2L+5M+2S)",Eono,9 Pcs (2l+5m+2s),Tela,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 0.8}, 'unit': 'inches', 'value': 0.8}, 'length': {'normalized_value': {'unit': 'inches', 'value': 13}, 'unit': 'inches', 'value': 13}, 'width': {'normalized_value': {'unit': 'inches', 'value': 9}, 'unit': 'inches', 'value': 9}}","[{'normalized_value': {'unit': 'pounds', 'value': 0.3968320716}, 'unit': 'grams', 'value': 180}]"
B07KYG85X8,71DPvhp6hTL,HOME_BED_AND_BATH,"AmazonBasics Premium Microfiber Pillowcases, 2-Pack - 40 x 80 cm, Bright White",AmazonBasics,Bright White,,0,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 0.98}, 'unit': 'inches', 'value': 0.98}, 'length': {'normalized_value': {'unit': 'inches', 'value': 9.45}, 'unit': 'inches', 'value': 9.45}, 'width': {'normalized_value': {'unit': 'inches', 'value': 5.91}, 'unit': 'inches', 'value': 5.91}}","[{'normalized_value': {'unit': 'pounds', 'value': 0.44}, 'unit': 'pounds', 'value': 0.44}]"
B07YFZWQG7,51mp38DduFL,SHOES,"find. Women's #_SHANA-1A-58, Beige Beige Nude, 6 us",find.,Beige Nude,,Mid-Heel Strappy Sandal,,,
B07F611M31,91MSWq9wqaL,SHOES,Amazon Brand - Symbol Men's Grey Canvas Sneakers-11 UK (AZ-SH-01D),Amazon Brand - Symbol,Grey,Canvas,Sneakers,Solid,,
B0896KVCJY,610jXVKNJpL,DRINKING_CUP,"AmazonBasics Eastlake Coolers Glass Drinkware Set, 15-Ounce, Set of 6",AmazonBasics,Clear,,"Coolers, Set of 6",,"{'height': {'normalized_value': {'unit': 'inches', 'value': 3.2}, 'unit': 'inches', 'value': 3.2}, 'length': {'normalized_value': {'unit': 'inches', 'value': 5.7}, 'unit': 'inches', 'value': 5.7}, 'width': {'normalized_value': {'unit': 'inches', 'value': 3.2}, 'unit': 'inches', 'value': 3.2}}","[{'normalized_value': {'unit': 'pounds', 'value': 0.8}, 'unit': 'pounds', 'value': 0.8}]"
B07SK9MRTF,71efhjXWg+L,CHAIR,"Marchio Amazon - Alkove Hayes - Sedia per tavolo da pranzo, 45,5 x 48 x 91,3 cm, faggio, set da 2",Alkove,Faggio,Faggio,Moderno,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 35.9448818531}, 'unit': 'centimeters', 'value': 91.3}, 'length': {'normalized_value': {'unit': 'inches', 'value': 17.9133858085}, 'unit': 'centimeters', 'value': 45.5}, 'width': {'normalized_value': {'unit': 'inches', 'value': 18.897637776}, 'unit': 'centimeters', 'value': 48}}","[{'normalized_value': {'unit': 'pounds', 'value': 15.43235834}, 'unit': 'kilograms', 'value': 7}]"
B07HK65QM8,616vPbNwg-L,SLEEPING_BAG,"Poecent - Juego de 2 Pesas de Neopreno para Mancuernas (Antideslizantes, Antideslizantes)",Poecent,Azul,Neofreno,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 2}, 'unit': 'inches', 'value': 2}, 'length': {'normalized_value': {'unit': 'inches', 'value': 8}, 'unit': 'inches', 'value': 8}, 'width': {'normalized_value': {'unit': 'inches', 'value': 2}, 'unit': 'inches', 'value': 2}}",
B01N16EEHY,71ojgySMkLL,SHOES,"Amazon Brand - The Fix Women's Finley Dome Stud Slide Sandal, Bright Blue,8 B US",The Fix,Bright Blue,Suede,Finley Dome Stud Slide Sandal,,,"[{'normalized_value': {'unit': 'pounds', 'value': 0.3375}, 'unit': 'ounces', 'value': 5.4}]"
B07PRQ57J6,81-Gt6x2phL,HOME_BED_AND_BATH,"Amazon Brand - Solimo Room Darkening Blackout Window Curtain, 5 Feet, Set of 2 (Blue)",Amazon Brand - Solimo,Blue,Polyester,Pack of 2,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 10.236220462}, 'unit': 'centimeters', 'value': 26}, 'length': {'normalized_value': {'unit': 'inches', 'value': 22.047244072}, 'unit': 'centimeters', 'value': 56}, 'width': {'normalized_value': {'unit': 'inches', 'value': 12.992125971}, 'unit': 'centimeters', 'value': 33}}","[{'normalized_value': {'unit': 'pounds', 'value': 2.1164377152}, 'unit': 'grams', 'value': 960}]"
B082QL2WKF,71oNhaZBdjL,SHOES,"Amazon Essentials Pointy Toe Mule with Mini Heel, léopard, EU 42-43",Amazon Essentials,Léopard,,Mules à bout pointu avec petit talon.,,,
