product_type,n,pct
SHOES,53,35.3
HOME,19,12.7
HOME_BED_AND_BATH,12,8.0
CHAIR,11,7.3
HOME_FURNITURE_AND_DECOR,9,6.0
TABLE,4,2.7
HANDBAG,3,2.0
KITCHEN,3,2.0
DRINKING_CUP,2,1.3
PORTABLE_ELECTRONIC_DEVICE_COVER,2,1.3
LAMP,2,1.3
PILLOW,2,1.3
TOTE_BAG,1,0.7
SLEEPING_BAG,1,0.7
HOME_ORGANIZERS_AND_STORAGE,1,0.7
BOTTLE_OPENER,1,0.7
PORTABLE_AUDIO,1,0.7
BOTTLE_RACK,1,0.7
TECHNICAL_SPORT_SHOE,1,0.7
FOOD_STORAGE_BAG,1,0.7
STORAGE_BAG,1,0.7
MEDIA_STORAGE,1,0.7
JEWELRY_SET,1,0.7
JEWELRY_STORAGE,1,0.7
PORTABLE_STOVE,1,0.7
BAKING_CUP,1,0.7
SWATCH,1,0.7
COMPUTER_DRIVE_OR_STORAGE,1,0.7
BAG,1,0.7
WASTE_BAG,1,0.7
HOME_LIGHTING_AND_LAMPS,1,0.7
MEASURING_CUP,1,0.7
PORTABLE_ELECTRONIC_DEVICE_STAND,1,0.7
CARRYING_CASE_OR_BAG,1,0.7
STORAGE_BOX,1,0.7
HOME_MIRROR,1,0.7
ABIS_KITCHEN,1,0.7
STORAGE_BINDER,1,0.7
CE_CARRYING_CASE_OR_BAG,1,0.7
BOTTLE,1,0.7
